公司統一編號,公司名稱,分公司統一編號,分公司名稱,Address,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Longitude,Latitude
16740494,全聯實業股份有限公司,24793760,仁德中清分公司,臺南市仁德區中清路167、169號,1,1040617,1050314,120.2560395,22.973745
16740494,全聯實業股份有限公司,24793902,中和民德分公司,新北市中和區民德路187號地下1層,1,1040618,1100610,121.4685996,24.9992658
16740494,全聯實業股份有限公司,24794347,石岡豐勢分公司,臺中市石岡區豐勢路883、885號,1,1040713,1130509,120.7889524,24.2730045
16740494,全聯實業股份有限公司,24794640,基隆樂利分公司,基隆市安樂區樂利三街146、148號,1,1040713,1131105,121.716417,25.1263993
16740494,全聯實業股份有限公司,24794971,大里新芳分公司,臺中市大里區新芳路1號,1,1040713,1070315,120.6873051,24.1034069
16740494,全聯實業股份有限公司,24795079,湖口民富分公司,新竹縣湖口鄉鳳凰村民富街26號,1,1040713,1130515,121.0449768,24.8814458
16740494,全聯實業股份有限公司,24795248,雲林口湖分公司,雲林縣口湖鄉湖東村中正路1段187號,1,1040717,1060615,120.1504818,23.5748798
16740494,全聯實業股份有限公司,24795269,鳳山頂豐分公司,高雄市鳳山區頂豐街21、23、25、27號,1,1040721,       ,120.3561433,22.5858393
16740494,全聯實業股份有限公司,24795401,旗津中洲分公司,高雄市旗津區中洲二路179-11號,1,1040722,1081206,120.2890727,22.5864738
16740494,全聯實業股份有限公司,24795535,信義吳興分公司,臺北市信義區吳興街600巷81號及地下1層,3,1040727,1060116,121.5711743,25.0188807
16740494,全聯實業股份有限公司,24795710,中山松江分公司,臺北市中山區松江路318號,1,1040729,1051123,121.5328567,25.0604699
16740494,全聯實業股份有限公司,24795818,新竹自由分公司,新竹市東區自由路95巷38弄1號,1,1040730,1090513,120.9787572,24.8127042
16740494,全聯實業股份有限公司,24795845,龍潭中豐分公司,桃園市龍潭區中豐路293、295、297、299、301、303號,1,1040731,1060208,121.2115749,24.8779286
16740494,全聯實業股份有限公司,24795970,金門金湖分公司,金門縣金湖鎮新湖里塔后147、149號,1,1040804,1070427,118.407964,24.4377378
